date,geography,debt_service_ratio,debt_service_ratio_interest_only,disposable_income,household_income,mortgage_debt_payments,mortgage_debt_service_ratio,mortgage_debt_service_ratio_interest_only,mortgage_interest_paid,non_mortgage_debt_payments,non_mortgage_debt_service_ratio,non_mortgage_debt_service_ratio_interest_only,non_mortgage_interest_paid,consumer_debt,consumer_debt_service_ratio_interest_only,interest_paid,total_debt_payments,total_interest_paid,consumer_credit_mortgage_liabilities_to_income,consumer_credit_mortgage_liabilities_to_net_worth,credit_market_debt_to_disposable_income,credit_market_debt_to_net_worth,debt_to_disposable_income,debt_to_gdp,debt_to_net_worth,debt_to_total_assets,effective_interest_cost_mortgage_loans,effective_interest_cost_non_mortgage_loans,effective_interest_cost_total_loans,disposable_income_growth_yoy,debt_to_income_change_yoy,debt_service_ratio_change_yoy,interest_cost_change_yoy,dsr_score,debt_income_score,interest_pressure_score,income_pressure_score,risk_score,risk_category,suggested_action
1990-01-01,Canada,12.19,10.62,403280.0,615496.0,29148.0,6.46,6.04,27248.0,25852.0,5.73,4.58,20652.0,16024.0,3.55,47900.0,55000.0,47900.0,78.86,15.4,86.11,16.81,87.97,54.02,17.18,14.66,2.83,4.21,3.3,,,,,20,20,,,,Insufficient Data,Data review required
1990-04-01,Canada,12.68,11.16,392652.0,626452.0,29564.0,6.69,6.31,27888.0,26468.0,5.99,4.85,21428.0,16732.0,3.79,49316.0,56032.0,49316.0,80.66,16.03,87.86,17.46,90.04,55.01,17.9,15.18,2.81,4.25,3.29,,,,,20,20,,,,Insufficient Data,Data review required
1990-07-01,Canada,12.47,11.08,404988.0,631908.0,30152.0,6.62,6.25,28464.0,26640.0,5.85,4.83,22020.0,17300.0,3.8,50484.0,56792.0,50484.0,80.89,16.15,88.01,17.58,90.33,55.59,18.04,15.28,2.87,4.41,3.39,,,,,20,20,,,,Insufficient Data,Data review required
1990-10-01,Canada,12.29,11.04,412232.0,638984.0,30748.0,6.64,6.26,29020.0,26208.0,5.66,4.78,22128.0,17504.0,3.78,51148.0,56956.0,51148.0,81.24,16.16,88.29,17.56,90.52,56.23,18.01,15.26,2.91,4.41,3.41,,,,,20,20,,,,Insufficient Data,Data review required
1991-01-01,Canada,12.19,10.98,417232.0,640844.0,31884.0,6.8,6.42,30108.0,25252.0,5.39,4.56,21380.0,17092.0,3.65,51488.0,57136.0,51488.0,81.06,15.8,88.0,17.15,90.05,56.45,17.55,14.93,2.88,4.23,3.32,3.4596310255901708,2.0799999999999983,0.0,0.020000000000000018,20,20,45.0,45.0,28.75,Low Risk,Continue standard monitoring
1991-04-01,Canada,12.13,10.94,412040.0,648248.0,32156.0,6.95,6.54,30260.0,23984.0,5.18,4.4,20352.0,16324.0,3.53,50612.0,56140.0,50612.0,81.69,15.96,88.75,17.33,91.18,57.77,17.81,15.12,2.83,3.9,3.18,4.937705652842728,1.1400000000000006,-0.5499999999999989,-0.10999999999999988,20,20,20.0,45.0,23.75,Low Risk,Continue standard monitoring
1991-07-01,Canada,11.95,10.64,420200.0,652668.0,32356.0,6.88,6.46,30360.0,23836.0,5.07,4.19,19692.0,15860.0,3.37,50052.0,56192.0,50052.0,82.93,16.14,89.73,17.47,91.89,58.63,17.89,15.17,2.82,3.85,3.15,3.7561606763657274,1.5600000000000023,-0.5200000000000014,-0.2400000000000002,20,20,20.0,45.0,23.75,Low Risk,Continue standard monitoring
1991-10-01,Canada,11.83,10.4,424068.0,654384.0,32676.0,6.9,6.5,30752.0,23292.0,4.92,3.9,18456.0,14848.0,3.14,49208.0,55968.0,49208.0,83.51,16.01,90.27,17.3,91.93,58.67,17.62,14.98,2.85,3.63,3.09,2.871198742455694,1.4100000000000108,-0.4599999999999991,-0.3200000000000003,20,20,20.0,45.0,23.75,Low Risk,Continue standard monitoring
1992-01-01,Canada,11.79,10.25,419928.0,658604.0,32316.0,6.91,6.43,30084.0,22848.0,4.88,3.82,17880.0,14372.0,3.07,47964.0,55164.0,47964.0,83.25,15.73,90.07,17.02,91.72,58.43,17.33,14.77,2.69,3.48,2.94,0.6461632856540334,1.6700000000000017,-0.40000000000000036,-0.3799999999999999,20,20,20.0,65.0,26.75,Low Risk,Continue standard monitoring
1992-04-01,Canada,11.57,9.96,428816.0,664280.0,32600.0,6.84,6.35,30256.0,22504.0,4.73,3.61,17192.0,13828.0,2.9,47448.0,55104.0,47448.0,84.06,15.74,90.74,16.99,92.52,59.21,17.33,14.77,2.63,3.3,2.84,4.071449373847202,1.3399999999999892,-0.5600000000000005,-0.3400000000000003,20,20,20.0,45.0,23.75,Low Risk,Continue standard monitoring
