date,geography,indicator_name,unit,value,source,frequency
1990-01,Canada,Household income,Dollars,615496.0,Statistics Canada Table 11-10-0065-01,Monthly/Quarterly
1990-01,Canada,Disposable income ,Dollars,403280.0,Statistics Canada Table 11-10-0065-01,Monthly/Quarterly
1990-01,Canada,Plus: Interest paid,Dollars,47900.0,Statistics Canada Table 11-10-0065-01,Monthly/Quarterly
1990-01,Canada,Total debt payments,Dollars,55000.0,Statistics Canada Table 11-10-0065-01,Monthly/Quarterly
1990-01,Canada,Mortgage debt payments,Dollars,29148.0,Statistics Canada Table 11-10-0065-01,Monthly/Quarterly
1990-01,Canada,Non-mortgage debt payments,Dollars,25852.0,Statistics Canada Table 11-10-0065-01,Monthly/Quarterly
1990-01,Canada,Total interest paid,Dollars,47900.0,Statistics Canada Table 11-10-0065-01,Monthly/Quarterly
1990-01,Canada,Mortgage interest paid,Dollars,27248.0,Statistics Canada Table 11-10-0065-01,Monthly/Quarterly
1990-01,Canada,Non-mortgage interest paid,Dollars,20652.0,Statistics Canada Table 11-10-0065-01,Monthly/Quarterly
1990-01,Canada,Of which: consumer debt ,Dollars,16024.0,Statistics Canada Table 11-10-0065-01,Monthly/Quarterly
1990-01,Canada,Debt service ratio,Ratio,12.19,Statistics Canada Table 11-10-0065-01,Monthly/Quarterly
1990-01,Canada,Mortgage debt service ratio,Ratio,6.46,Statistics Canada Table 11-10-0065-01,Monthly/Quarterly
1990-01,Canada,Non-mortgage debt service ratio,Ratio,5.73,Statistics Canada Table 11-10-0065-01,Monthly/Quarterly
1990-01,Canada,"Debt service ratio, interest only",Ratio,10.62,Statistics Canada Table 11-10-0065-01,Monthly/Quarterly
1990-01,Canada,"Mortgage debt service ratio, interest only",Ratio,6.04,Statistics Canada Table 11-10-0065-01,Monthly/Quarterly
1990-01,Canada,"Non-mortgage debt service ratio, interest only",Ratio,4.58,Statistics Canada Table 11-10-0065-01,Monthly/Quarterly
1990-01,Canada,"Of which: consumer debt service ratio, interest only",Ratio,3.55,Statistics Canada Table 11-10-0065-01,Monthly/Quarterly
