date,geography,debt_service_ratio,mortgage_debt_service_ratio,non_mortgage_debt_service_ratio,debt_to_disposable_income,credit_market_debt_to_disposable_income,consumer_credit_mortgage_liabilities_to_income,effective_interest_cost_total_loans,disposable_income,disposable_income_growth_yoy,interest_cost_change_yoy,consumer_insolvencies,insolvency_growth_yoy,debt_to_income_change_yoy,debt_service_ratio_change_yoy,dsr_score,debt_income_score,insolvency_score,interest_pressure_score,income_pressure_score,risk_score,risk_category,suggested_action,year,quarter,quarter_label,risk_traffic_light,risk_narrative
1990-01-01,Canada,12.19,6.46,5.73,87.97,86.11,78.86,3.3,403280.0,,,8958.0,31.06,,,20,20,85,,,,Insufficient Data,Data review required,1990,1990Q1,Q1 1990,Grey,"In Q1 1990, Canada household credit risk was classified as Insufficient Data with a risk score of nan. The debt service ratio was 12.19%, debt-to-disposable-income was 87.97%, and consumer insolvency growth was 31.06% YoY."
1990-04-01,Canada,12.68,6.69,5.99,90.04,87.86,80.66,3.29,392652.0,,,9663.0,34.9,,,20,20,85,,,,Insufficient Data,Data review required,1990,1990Q2,Q2 1990,Grey,"In Q2 1990, Canada household credit risk was classified as Insufficient Data with a risk score of nan. The debt service ratio was 12.68%, debt-to-disposable-income was 90.04%, and consumer insolvency growth was 34.9% YoY."
1990-07-01,Canada,12.47,6.62,5.85,90.33,88.01,80.89,3.39,404988.0,,,10918.0,49.48,,,20,20,85,,,,Insufficient Data,Data review required,1990,1990Q3,Q3 1990,Grey,"In Q3 1990, Canada household credit risk was classified as Insufficient Data with a risk score of nan. The debt service ratio was 12.47%, debt-to-disposable-income was 90.33%, and consumer insolvency growth was 49.48% YoY."
1990-10-01,Canada,12.29,6.64,5.66,90.52,88.29,81.24,3.41,412232.0,,,13785.0,67.88,,,20,20,85,,,,Insufficient Data,Data review required,1990,1990Q4,Q4 1990,Grey,"In Q4 1990, Canada household credit risk was classified as Insufficient Data with a risk score of nan. The debt service ratio was 12.29%, debt-to-disposable-income was 90.52%, and consumer insolvency growth was 67.88% YoY."
1991-01-01,Canada,12.19,6.8,5.39,90.05,88.0,81.06,3.32,417232.0,3.46,0.02,15193.0,69.6,2.08,0.0,20,20,85,45.0,45.0,39.25,Low Risk,Continue standard monitoring,1991,1991Q1,Q1 1991,Green,"In Q1 1991, Canada household credit risk was classified as Low Risk with a risk score of 39.25. The debt service ratio was 12.19%, debt-to-disposable-income was 90.05%, and consumer insolvency growth was 69.6% YoY."
1991-04-01,Canada,12.13,6.95,5.18,91.18,88.75,81.69,3.18,412040.0,4.94,-0.11,15884.0,64.38,1.14,-0.55,20,20,85,20.0,45.0,35.5,Low Risk,Continue standard monitoring,1991,1991Q2,Q2 1991,Green,"In Q2 1991, Canada household credit risk was classified as Low Risk with a risk score of 35.5. The debt service ratio was 12.13%, debt-to-disposable-income was 91.18%, and consumer insolvency growth was 64.38% YoY."
1991-07-01,Canada,11.95,6.88,5.07,91.89,89.73,82.93,3.15,420200.0,3.76,-0.24,15503.0,41.99,1.56,-0.52,20,20,85,20.0,45.0,35.5,Low Risk,Continue standard monitoring,1991,1991Q3,Q3 1991,Green,"In Q3 1991, Canada household credit risk was classified as Low Risk with a risk score of 35.5. The debt service ratio was 11.95%, debt-to-disposable-income was 91.89%, and consumer insolvency growth was 41.99% YoY."
1991-10-01,Canada,11.83,6.9,4.92,91.93,90.27,83.51,3.09,424068.0,2.87,-0.32,16434.0,19.22,1.41,-0.46,20,20,85,20.0,45.0,35.5,Low Risk,Continue standard monitoring,1991,1991Q4,Q4 1991,Green,"In Q4 1991, Canada household credit risk was classified as Low Risk with a risk score of 35.5. The debt service ratio was 11.83%, debt-to-disposable-income was 91.93%, and consumer insolvency growth was 19.22% YoY."
1992-01-01,Canada,11.79,6.91,4.88,91.72,90.07,83.25,2.94,419928.0,0.65,-0.38,16906.0,11.27,1.67,-0.4,20,20,65,20.0,65.0,33.5,Low Risk,Continue standard monitoring,1992,1992Q1,Q1 1992,Green,"In Q1 1992, Canada household credit risk was classified as Low Risk with a risk score of 33.5. The debt service ratio was 11.79%, debt-to-disposable-income was 91.72%, and consumer insolvency growth was 11.27% YoY."
1992-04-01,Canada,11.57,6.84,4.73,92.52,90.74,84.06,2.84,428816.0,4.07,-0.34,15920.0,0.23,1.34,-0.56,20,20,45,20.0,45.0,27.5,Low Risk,Continue standard monitoring,1992,1992Q2,Q2 1992,Green,"In Q2 1992, Canada household credit risk was classified as Low Risk with a risk score of 27.5. The debt service ratio was 11.57%, debt-to-disposable-income was 92.52%, and consumer insolvency growth was 0.23% YoY."
